Fire_id,Region,Population_center,Year,Lon,Lat,Date,crs
1,"Хасково, Сакар",Йеросалиново,2025,26.068463,41.910791,2025-08-04,EPSG:32635
2,"Бургас, Източна Стара Планина",Славянци,2025,26.741844,42.783496,2025-08-08,EPSG:32635
3,"Ямбол, Сакар",Младиново,2025,26.270351,41.921013,2025-09-08,EPSG:32635
4,"Благоевград, Рила",Горно Осеново,2025,23.333243,41.977675,2025-09-04,EPSG:32634
5,"Благоевград, Пирин",Горно Спанчево,2025,23.499531,41.505029,2025-07-17,EPSG:32634
6,Ямбол,Козарево,2025,26.618058,42.454245,2025-07-27,EPSG:32635
7,Лом,Мокреш,2025,23.366854,43.735224,2025-09-22,EPSG:32634
8,Крайще,Рани Лук,2025,22.493439,42.829391,2025-07-27,EPSG:32634
9,Велико Тръново,Арабанаси,2025,25.653089,43.096922,2025-07-08,EPSG:32635
10,Добрич ,Жегларци,2025,27.425583,43.670946,2025-07-26,EPSG:32635
11,Стара Загора,Владимирово,2025,26.115445,42.12161,2025-07-28,EPSG:32635
12,"Кърджали, Източни Родопи",Ридово,2025,25.281008,41.671383,2025-08-13,EPSG:32635
13,"Бургас, Странджа",Сливово,2025,26.980566,42.220124,2025-08-08,EPSG:32635
14,Пловдив,Пъдарско,2025,24.875946,42.375358,2025-07-23,EPSG:32635
15,София,Костинброд ,2025,23.09652,42.89276,2025-07-21,EPSG:32634
